Структурное подразделение - полный путь с группирующими	Код функции	Должность /профессия (разряд, категория)	Грейд	ФОТ по рынку
Группирующий узел Юг \ Северо-Осетинский филиал 	0204 АБ - Офис	Специалист 2 категории	2	48049.32
Группирующий узел Юг \ Северо-Осетинский филиал 	0206 ББ - Безопасность	Руководитель направления	5	155400.625
Группирующий узел Юг \ Северо-Осетинский филиал 	0207 ББ - Государственная тайна	Инженер 2 категории	2	74824.2
Группирующий узел Юг \ Северо-Осетинский филиал 	0207 ББ - Государственная тайна	Начальник отдела	5	236230.50000000003
Группирующий узел Юг \ Северо-Осетинский филиал 	0207 ББ - Государственная тайна	Специалист	2	65968.32
Группирующий узел Юг \ Северо-Осетинский филиал 	0209 МПГОЧС	Инженер	2	69113.88
Группирующий узел Юг \ Северо-Осетинский филиал 	0209 МПГОЧС	Начальник отдела	5	168852.81
Группирующий узел Юг \ Северо-Осетинский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Ведущий инженер	3	84230.73666666666
Группирующий узел Юг \ Северо-Осетинский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Инженер	3	85816.82444444444
Группирующий узел Юг \ Северо-Осетинский филиал 	0221 БТИ_ОФИС_КС_Орг_кл_серв	Специалист	3	88208.47923076923
Группирующий узел Юг \ Северо-Осетинский филиал 	0227 БТИ_ОФИС_ОТ	Ведущий специалист по охране труда	3	90893.88
Группирующий узел Юг \ Северо-Осетинский филиал 	0227 БТИ_ОФИС_ОТ	Начальник отдела	5	158900.82
Группирующий узел Юг \ Северо-Осетинский филиал 	0233 БТИ_ОФИС_СГЭ	Главный энергетик	5	144788.75
Группирующий узел Юг \ Северо-Осетинский филиал 	0233 БТИ_ОФИС_СГЭ	Инженер-энергетик	3	81664.655
Группирующий узел Юг \ Северо-Осетинский филиал 	0235 БТИ_ОФИС_Строит	Ведущий инженер	3	77313.35250000001
Группирующий узел Юг \ Северо-Осетинский филиал 	0235 БТИ_ОФИС_Строит	Ведущий специалист	3	90025.32
Группирующий узел Юг \ Северо-Осетинский филиал 	0235 БТИ_ОФИС_Строит	Руководитель направления	4	122799.6
Группирующий узел Юг \ Северо-Осетинский филиал 	0237 БТИ_ОФИС_Орг_эксп	Ведущий инженер	3	82524.20000000001
Группирующий узел Юг \ Северо-Осетинский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Ведущий инженер	3	72293.2
Группирующий узел Юг \ Северо-Осетинский филиал 	0261 БТИ_xЦТЭТ_ГЦТЭТ_УДР	Инженер	3	95674.59999999999
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Водитель автомобиля	1	38815.99333333334
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Механик-контролер	2	58981.560000000005
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Начальник цеха	5	151012.36000000002
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Специалист	2	58086.6
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Фельдшер	1	34700.16
