Структурное подразделение - полный путь с группирующими	Код функции	Должность /профессия (разряд, категория)	Грейд	ФОТ по рынку
Группирующий узел Юг \ Северо-Осетинский филиал 	0299 БТИ_Транспорт	Электрогазосварщик	2	56047.200000000004
Группирующий узел Юг \ Северо-Осетинский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Ведущий инженер	3	85159.8
Группирующий узел Юг \ Северо-Осетинский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Инженер	3	72405.96
Группирующий узел Юг \ Северо-Осетинский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Инспектор по ОПР	2	57019.380000000005
Группирующий узел Юг \ Северо-Осетинский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Старший электромеханик связи	2	52659.42
Группирующий узел Юг \ Северо-Осетинский филиал 	0301 БТИ_xЦТЭТ_ТЦТЭТ_ЛУ	Электромеханик связи	2	57493.128000000004
Группирующий узел Юг \ Северо-Осетинский филиал 	0305 БТИ_xЦТЭТ_ТЦТЭТ_БС	Ведущий инженер	3	78724.73766666667
Группирующий узел Юг \ Северо-Осетинский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Ведущий инженер	3	80100.81493333334
Группирующий узел Юг \ Северо-Осетинский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Ведущий инженер электросвязи	3	72164.40000000001
Группирующий узел Юг \ Северо-Осетинский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Инженер электросвязи	3	79609.728
Группирующий узел Юг \ Северо-Осетинский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Инженер электросвязи 1 категории	3	75254.52
Группирующий узел Юг \ Северо-Осетинский филиал 	0307 БТИ_xЦТЭТ_ТЦТЭТ_СУ	Инженер электросвязи 2 категории	3	73401.90000000001
Группирующий узел Юг \ Северо-Осетинский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Ведущий инженер	3	68740.32
Группирующий узел Юг \ Северо-Осетинский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Инженер	2	56927.975
Группирующий узел Юг \ Северо-Осетинский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Начальник участка	4	116266.92
Группирующий узел Юг \ Северо-Осетинский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Телеграфист	1	40540.85647333333
Группирующий узел Юг \ Северо-Осетинский филиал 	0312 БТИ_xЦТЭТ_ТЦТЭТ_УДС/ТЛГ/Спец	Электромеханик связи	2	59687.162333333334
Группирующий узел Юг \ Северо-Осетинский филиал 	0331 B2B - Планирование, финансовый и бизнес-анализ	Руководитель группы	5	152388.5
Группирующий узел Юг \ Северо-Осетинский филиал 	0341 B2B - Продажи и обслуживание, старший сегмент	Ведущий менеджер по работе с холдингами	4	164150
